,wavelength,wavelength_bin_width,transit_depth,transit_depth_error
0,2.882981e+00,2.027700e-02,1.008000e-03,2.100000e-05
1,2.923536e+00,2.027700e-02,9.760000e-04,2.000000e-05
2,2.964091e+00,2.027700e-02,9.530000e-04,1.900000e-05
3,3.004646e+00,2.027700e-02,9.850000e-04,1.800000e-05
4,3.045201e+00,2.027700e-02,9.800000e-04,1.800000e-05
5,3.085756e+00,2.027700e-02,9.900000e-04,1.800000e-05
6,3.126311e+00,2.027700e-02,9.720000e-04,1.800000e-05
7,3.166865e+00,2.027700e-02,1.015000e-03,1.700000e-05
8,3.207420e+00,2.027700e-02,9.420000e-04,1.800000e-05
9,3.247975e+00,2.027700e-02,9.890000e-04,1.800000e-05
10,3.288530e+00,2.027700e-02,9.680000e-04,1.700000e-05
11,3.329085e+00,2.027700e-02,9.710000e-04,1.700000e-05
12,3.369640e+00,2.027700e-02,9.560000e-04,1.700000e-05
13,3.410195e+00,2.027700e-02,9.510000e-04,1.800000e-05
14,3.450749e+00,2.027700e-02,9.800000e-04,1.700000e-05
15,3.491304e+00,2.027700e-02,9.710000e-04,1.900000e-05
16,3.531859e+00,2.027700e-02,9.790000e-04,1.800000e-05
17,3.572414e+00,2.027700e-02,9.590000e-04,1.800000e-05
18,3.612969e+00,2.027700e-02,9.640000e-04,1.800000e-05
19,3.653524e+00,2.027700e-02,9.570000e-04,1.900000e-05
20,3.694079e+00,2.027700e-02,9.960000e-04,1.900000e-05
21,3.879101e+00,1.972800e-02,9.350000e-04,2.100000e-05
22,3.918556e+00,1.972800e-02,9.020000e-04,2.100000e-05
23,3.958011e+00,1.972800e-02,9.230000e-04,2.300000e-05
24,3.997467e+00,1.972800e-02,9.520000e-04,2.300000e-05
25,4.036922e+00,1.972800e-02,9.100000e-04,2.200000e-05
26,4.076377e+00,1.972800e-02,9.390000e-04,2.200000e-05
27,4.115832e+00,1.972800e-02,9.480000e-04,2.300000e-05
28,4.155287e+00,1.972800e-02,9.190000e-04,2.300000e-05
29,4.194743e+00,1.972800e-02,9.040000e-04,2.300000e-05
30,4.234198e+00,1.972800e-02,9.170000e-04,2.300000e-05
31,4.273653e+00,1.972800e-02,9.290000e-04,2.300000e-05
32,4.313108e+00,1.972800e-02,9.220000e-04,2.500000e-05
33,4.352563e+00,1.972800e-02,8.930000e-04,2.500000e-05
34,4.392019e+00,1.972800e-02,8.920000e-04,2.600000e-05
35,4.431474e+00,1.972800e-02,8.930000e-04,2.700000e-05
36,4.470929e+00,1.972800e-02,8.800000e-04,2.800000e-05
37,4.510384e+00,1.972800e-02,9.540000e-04,2.900000e-05
38,4.549840e+00,1.972800e-02,9.230000e-04,2.900000e-05
39,4.589295e+00,1.972800e-02,9.110000e-04,3.000000e-05
40,4.628750e+00,1.972800e-02,8.640000e-04,2.900000e-05
41,4.668205e+00,1.972800e-02,9.620000e-04,3.000000e-05
42,4.707660e+00,1.972800e-02,9.550000e-04,3.100000e-05
43,4.747116e+00,1.972800e-02,9.180000e-04,3.200000e-05
44,4.786571e+00,1.972800e-02,9.280000e-04,3.300000e-05
45,4.826026e+00,1.972800e-02,8.820000e-04,3.400000e-05
46,4.865481e+00,1.972800e-02,9.010000e-04,3.700000e-05
47,4.904936e+00,1.972800e-02,8.910000e-04,3.700000e-05
48,4.944392e+00,1.972800e-02,8.840000e-04,3.800000e-05
49,4.983847e+00,1.972800e-02,9.000000e-04,4.100000e-05
50,5.023302e+00,1.972800e-02,1.054000e-03,7.200000e-05
